,place,name,year,month,visitors
1,2 ,Speed King,2020,February,53
2,3 ,Sex On The Beach,2020,February,39
3,4 ,Irish Flag (alkoholisch),2020,February,37
4,5 ,Baby Aspirin,2020,February,36
5,6 ,Long Island Icetea,2020,February,34
6,7 ,Highfly,2020,February,30
7,8 ,Schwanzlsturzer,2020,February,30
8,9 ,'57 Chevy,2020,February,30
9,10 ,Mojito original,2020,February,29
0,1 ,Destroyer,2020,March,78
1,2 ,Baby Aspirin,2020,March,75
2,3 ,Sex On The Beach,2020,March,66
3,4 ,Speed King,2020,March,58
4,5 ,Irish Flag (alkoholisch),2020,March,55
5,6 ,Alexander 2,2020,March,54
6,7 ,Mojito original,2020,March,51
7,8 ,Zombie,2020,March,50
8,9 ,Caipirinha,2020,March,50
9,10 ,Long Island Icetea,2020,March,49
0,1 ,Baby Aspirin,2020,April,66
1,2 ,Destroyer,2020,April,65
2,3 ,Sex On The Beach,2020,April,59
3,4 ,Speed King,2020,April,52
4,5 ,'57 Chevy,2020,April,52
5,6 ,Long Island Icetea,2020,April,52
6,7 ,Caipirinha,2020,April,51
7,8 ,May Tai,2020,April,49
8,9 ,Zombie,2020,April,47
9,10 ,Wiki Waki Woo,2020,April,41
0,1 ,Destroyer,2020,May,66
1,2 ,Baby Aspirin,2020,May,56
2,3 ,Sex On The Beach,2020,May,46
3,4 ,Schwanzlsturzer,2020,May,38
4,5 ,Irish Flag (alkoholisch),2020,May,36
5,6 ,Mojito original,2020,May,34
6,7 ,Lady Finger,2020,May,33
7,8 ,Long Island Icetea,2020,May,33
8,9 ,May Tai,2020,May,33
9,10 ,Merlin,2020,May,32
0,1 ,Destroyer,2020,June,65
1,2 ,Sex On The Beach,2020,June,51
2,3 ,Baby Aspirin,2020,June,48
3,4 ,May Tai,2020,June,39
4,5 ,Mojito original,2020,June,36
5,6 ,'57 Chevy,2020,June,34
6,7 ,Caipirinha,2020,June,34
7,8 ,Irish Flag (alkoholisch),2020,June,33
8,9 ,Speed King,2020,June,31
9,10 ,Omas offenes Bein,2020,June,30
0,1 ,Baby Aspirin,2020,July,79
1,2 ,Omas offenes Bein,2020,July,66
2,3 ,Sex On The Beach,2020,July,66
3,4 ,Destroyer,2020,July,64
4,5 ,Irish Flag (alkoholisch),2020,July,61
5,6 ,Caipirinha,2020,July,60
6,7 ,Long Island Icetea,2020,July,50
7,8 ,Speed King,2020,July,49
8,9 ,Zombie,2020,July,48
9,10 ,'57 Chevy,2020,July,48
0,1 ,Destroyer,2020,August,37
1,2 ,Baby Aspirin,2020,August,34
2,3 ,Speed King,2020,August,33
3,4 ,Omas offenes Bein,2020,August,30
4,5 ,Bavorak,2020,August,28
5,6 ,Irish Flag (alkoholisch),2020,August,26
6,7 ,Caipirinha,2020,August,26
7,8 ,Schwanzlsturzer,2020,August,25
8,9 ,Long Island Icetea,2020,August,23
9,10 ,Wiki Waki Woo,2020,August,22
0,1 ,Destroyer,2020,September,99
1,2 ,Schwanzlsturzer,2020,September,62
2,3 ,Baby Aspirin,2020,September,49
3,4 ,Bavorak,2020,September,49
4,5 ,Sex On The Beach,2020,September,39
5,6 ,Pangalaktischer Donnergurgler,2020,September,38
6,7 ,Froschmilch,2020,September,37
7,8 ,Frensh 75 (CDrink),2020,September,37
8,9 ,Speed King,2020,September,37
9,10 ,Dream Cocktail,2020,September,31
0,1 ,Destroyer,2020,October,121
1,2 ,Speed King,2020,October,76
2,3 ,Sex On The Beach,2020,October,70
3,4 ,Omas offenes Bein,2020,October,63
4,5 ,Schwanzlsturzer,2020,October,63
5,6 ,Baby Aspirin,2020,October,61
6,7 ,Irish Flag (alkoholisch),2020,October,56
7,8 ,Caipirinha,2020,October,52
8,9 ,Mojito original,2020,October,47
9,10 ,Long Island Icetea,2020,October,44
0,1 ,Destroyer,2020,November,109
1,2 ,Speed King,2020,November,78
2,3 ,Schwanzlsturzer,2020,November,60
3,4 ,Bavorak,2020,November,49
4,5 ,Sex On The Beach,2020,November,49
5,6 ,Irish Flag (alkoholisch),2020,November,47
6,7 ,Baby Aspirin,2020,November,47
7,8 ,May Tai,2020,November,39
8,9 ,'57 Chevy,2020,November,39
9,10 ,Wiki Waki Woo,2020,November,38
0,1 ,Destroyer,2020,December,82
1,2 ,Speed King,2020,December,68
2,3 ,Sex On The Beach,2020,December,66
3,4 ,Irish Flag (alkoholisch),2020,December,59
4,5 ,Long Island Icetea,2020,December,49
5,6 ,Schwanzlsturzer,2020,December,47
6,7 ,Omas offenes Bein,2020,December,47
7,8 ,Baby Aspirin,2020,December,42
8,9 ,May Tai,2020,December,42
9,10 ,Zombie,2020,December,40
